shock,outcome,horizon,beta,se,tstat,pvalue,sig_flag
housing_living,SI.POV.GINI,0,1.063610233091133,0.6023844544937484,1.765666801586048,0.07745176556339617,*
housing_living,SI.POV.GINI,1,1.6658958871125522,0.7368268159479049,2.2609056172438957,0.023765102218070933,**
housing_living,SI.POV.GINI,2,2.1689399671824736,0.8472630471682758,2.559936933909143,0.01046911598271838,**
housing_living,SI.POV.GINI,3,3.390515127231121,0.900739746372731,3.7641451272520032,0.0001671198107513483,***
housing_living,SI.POV.GINI,4,3.5760163619649896,1.021757130317875,3.4998692505844993,0.00046548641579891026,***
housing_living,SI.POV.GINI,5,3.2887864965082443,1.1147661745617878,2.9502029856629433,0.0031756521549499706,***
housing_living,SI.POV.GINI,6,3.8464721506208166,1.2196404381722574,3.153775514679643,0.0016117301190796685,***
housing_living,SI.POV.GINI,7,4.706210320641007,1.31353076300649,3.582870270863807,0.0003398394054159315,***
housing_living,SI.POV.GINI,8,4.959371411789068,1.4533022099950088,3.4124846007122636,0.000643735639213272,***
security_stability,log_gdppc_x100,0,4.237064399806636,3.4778147383388167,1.218312279000369,0.22310532565234498,
security_stability,log_gdppc_x100,1,6.678498081051203,4.197888535452325,1.5909183925798522,0.11162794272545917,
security_stability,log_gdppc_x100,2,5.5397268158379855,5.292943263009527,1.046625013827966,0.29527256054458384,
security_stability,log_gdppc_x100,3,1.407657339704052,6.092573734592475,0.23104477697358694,0.8172800159602338,
security_stability,log_gdppc_x100,4,-1.1622636561456234,7.104323802433018,-0.16359947666624977,0.8700464567144441,
security_stability,log_gdppc_x100,5,-4.644341402232158,7.901722189603804,-0.587763185137369,0.5566912579638028,
security_stability,log_gdppc_x100,6,-7.3676207770414885,9.278405433559698,-0.7940610948507422,0.4271598652117039,
security_stability,log_gdppc_x100,7,-12.757620965342461,10.218971466420424,-1.2484251479969435,0.21187540427169615,
security_stability,log_gdppc_x100,8,-20.505961735207315,11.290899698210541,-1.8161494905899518,0.0693474436838657,*
security_stability,SI.POV.DDAY,0,0.9282807104820486,1.4280681086120017,0.6500255169091921,0.5156757392356734,
security_stability,SI.POV.DDAY,1,1.274707254580335,1.3602288253700752,0.9371270706849839,0.34869319807122245,
security_stability,SI.POV.DDAY,2,1.8899894174837222,1.3275695580015592,1.4236462459479675,0.15454890153400247,
security_stability,SI.POV.DDAY,3,2.0692919781589496,1.0944478877771977,1.8907176863044994,0.05866204022607113,*
security_stability,SI.POV.DDAY,4,1.4733818708881263,1.3371082272182915,1.1019166892371437,0.2704978922942214,
security_stability,SI.POV.DDAY,5,2.595559551085586,1.2758652652124547,2.034352389594506,0.041916078517052924,**
security_stability,SI.POV.DDAY,6,2.6236538235883122,1.3465827587623558,1.9483791891110447,0.05136960806348334,*
security_stability,SI.POV.DDAY,7,2.342454403340051,1.2961099850920512,1.8072960090448553,0.07071613798008047,*
security_stability,SI.POV.DDAY,8,2.7769668473210634,1.3343512597958078,2.0811363027048926,0.037421431832621144,**
security_stability,SI.POV.GINI,0,0.5542616149508001,0.32286474366047724,1.7166991002698595,0.08603416463977842,*
security_stability,SI.POV.GINI,1,0.829378758391327,0.5471664899856699,1.5157703798948803,0.12957742424963925,
security_stability,SI.POV.GINI,2,0.9271977965140538,0.6732016515938468,1.377295783988134,0.16842081818192955,
security_stability,SI.POV.GINI,3,1.2369414473618168,0.8475092242020984,1.4595020467492326,0.14442697771031798,
security_stability,SI.POV.GINI,4,1.2239245064048685,0.8464055537378674,1.44602608170494,0.14816988653122798,
security_stability,SI.POV.GINI,5,1.3655298024930762,0.9164309774906162,1.4900519908571712,0.1362105661502182,
security_stability,SI.POV.GINI,6,1.299663644092115,0.9019659983212177,1.4409231018809037,0.14960640868713138,
security_stability,SI.POV.GINI,7,0.4431811531276136,0.9366508151309588,0.4731551459394713,0.6361024958010457,
security_stability,SI.POV.GINI,8,0.16598832656466672,1.0245276121267684,0.16201449780362623,0.8712944371076685,
