year,BFA,BRA,CHL,CHN,COL,IDN,IND,KEN,MAR,MEX,MLI,MYS,NER,PAK,PER,PHL,POL,RUS,SGP,THA,TUR,ZAF
2010,-1017.7665039996486,-1483.4966782135343,-2153.2645158349005,5241.459970123172,-1105.9720361021864,234.8857071696184,-424.47019198870476,-955.0510415884646,1310.3985022501038,-9771.957520902251,-332.421473692149,-3563.6273255393644,-679.3375068380544,-208.7492954587724,934.7456805462352,-222.17123147451002,1046.7968622540066,9239.690763732524,62387.83594071644,-4.5323222185070335,-1101.7771214815475,-2285.8795293832954
2011,-1138.654399120735,-1885.6023878771593,-2197.6549774362247,5956.118006601575,-744.5829839360631,609.4262315004962,-556.7758404905953,-1045.483311869195,1531.6935203063967,-10765.778808182022,-443.0956941492168,-4001.7650966839574,-784.2331047331922,-225.60671644798003,1070.0851573861164,-333.1348558124919,1086.119124366749,10049.667009409251,64847.1075396066,-739.4452643992408,-309.97888780008,-2802.478075740979
2012,-1279.5184026708328,-2267.0974192122594,-1741.7355651848957,6538.502647493128,-702.4646046641574,515.5508786559512,-650.0059224247034,-1164.3807853247254,1647.5555969104535,-11613.59642142271,-636.2376044110392,-4024.6831234490382,-795.2522839014046,-418.9490444019875,1442.3230941445308,-233.7586641092539,328.18876555361567,10831.98368638412,65441.967111371385,-185.54325110309583,-556.7401122184601,-3223.1911538884997
2013,-1378.866063514722,-2566.4765182233677,-2024.516751766172,7169.068802392207,-460.4859047750342,729.5554728107927,-639.7280365527076,-1259.8092791117888,1830.3954099443026,-12429.652921239282,-714.3998838476641,-4294.770626896596,-823.196967285631,-368.9248914779928,1746.6479291185078,-67.97698714046692,-372.7507386629659,11281.888584289736,68093.63629890213,-486.93018127170944,476.6507076121852,-3557.042459940245
2014,-1532.169222663072,-3150.951037169394,-2990.039431506095,7801.992004277507,34.11751972781349,993.4960036974499,-593.8582463885305,-1254.150360085404,1852.546473036311,-12353.67384209972,-689.3195278583567,-4045.5271135006697,-846.8221701234327,-316.69328851263435,1532.2167969409438,113.80835968357042,167.17748818596374,10488.62161756081,71208.10050460187,-1007.4160691095094,1033.2305292760175,-3946.42992716106
2015,-1724.84576386066,-4321.695787604371,-3777.7352710208324,8391.137438013113,685.7097932062643,1136.3557149411445,-490.0911419902768,-1181.9417453329415,2000.3370127584458,-12114.239571541977,-675.028137854661,-3879.6892215248154,-935.5068683807738,-294.33420394758195,1521.28073357617,334.0879447620391,945.7986778978811,9256.07045521474,73910.86910125829,-1020.7313100767387,1955.5516016172041,-4384.288321034961
2016,-1847.614671216299,-5399.925339042376,-4658.643982791436,8975.242341354762,1099.6013339176716,1286.9176765260381,-355.35189621495283,-1144.9930604837118,1856.037803084937,-12177.58656457537,-641.3954532472694,-3989.191899811667,-981.261348595664,-163.26231185975666,1628.4388289477083,622.7070700345485,1310.3775679948376,8932.340859174798,76568.47151081703,-1020.4796837041868,2330.7640440654977,-4725.209680372234
2017,-1941.5787036787292,-5666.155290871993,-6291.642086346139,9682.967678767336,807.4914545447136,1380.9353168238595,-343.37890963342215,-1132.6358179113022,2072.5994140379044,-12372.558381576564,-683.1479271726989,-4073.3209814681577,-1010.0803317765788,-140.90125872232056,1351.2178469062274,881.6912568629232,2248.086549332762,9063.65481445354,80895.41190714238,-1020.4600806625167,4010.901947795621,-5093.149339969716
2018,-2106.663092694704,-5922.346009776778,-7172.696411498469,10413.499506890388,573.229817178526,1482.1089157386214,-388.4866301160673,-1078.1843342448,2153.3739708993744,-12992.283209807723,-730.7791844253529,-4280.041264308835,-1082.9068159336884,-90.77927515615556,1145.5084178091984,1065.9943011605128,3381.4857134458143,9648.11209466196,83384.86686053377,-895.6864643431218,4104.093441512305,-5731.404116912858
2019,-2293.4513598788135,-6091.0553881457345,-8468.950955206532,11275.214554253156,555.9660576579954,1752.0180407931675,-557.8544015166271,-1032.7513230476234,2301.625027756246,-13331.091429570613,-762.3177366075615,-3825.734864542672,-1187.524821331535,-142.9538445360231,747.4791610791472,1319.445745414052,4816.935561364444,10700.354454897082,82788.50524563441,-920.9575125363481,4065.689457002434,-6415.92672554845
2020,-2263.5180937861837,-5203.873861476281,-9493.317569240502,12139.303744838438,-253.48974955425365,2018.2550128112198,-1138.540438057259,-821.7876165229691,2029.6421068464606,-13527.345535879285,-720.8482799526046,-4720.065095947928,-1080.7272126251196,-14.94389927787779,-697.4750212938725,642.7510547327247,5810.7064495340965,11845.21316467899,79510.6804436286,-1363.2761303742773,5894.640861296972,-6406.083585074948
2021,-2516.231285200309,-6812.965824808645,-9796.764154276734,13144.379760486336,673.7293903922691,2255.5625423561924,-1090.2617018589108,-876.3833681254409,2417.40711438731,-15859.16303453039,-905.8935800358872,-7941.426145276069,-1297.806547093866,102.02057974325999,77.92273732674767,644.9179907179714,5417.547847022637,12270.601103803427,93972.4470369701,-2966.990506782102,6764.6530115486385,-7601.39944360596
2022,-2755.69327080524,-7145.583857674763,-10890.423290637664,13409.077551261107,1268.9701071514864,2420.107473490303,-874.0910680757479,-980.9701101593637,2384.5680571542125,-15503.85694809883,-943.3739379775202,-6271.772296902149,-1271.9859411093234,54.7797252967639,-326.01647729037177,962.3899477749274,7224.077427108576,11220.151003796655,95350.65777451008,-3144.5648381717438,7689.1444472542935,-8219.043590593114
2023,-3008.5566675637165,-6451.596374479599,-11250.783891761355,14111.495638569164,670.8456820993379,2781.6437100656476,-491.28694613459265,-835.4038053694358,2526.104935791398,-15194.057804578912,-937.9450078195382,-5315.227853193901,-1427.3773623138804,-150.86027921145524,-918.5800472448445,1285.3983705407954,7365.380599938355,12594.445044625856,89660.95750985309,-2790.5998301189757,9055.739373591361,-8527.980197490198
2024,-3262.9480193655695,-6322.734415577364,-12067.94186718042,14869.311838832687,195.1311831497551,3011.0822179981315,-417.72429294541325,-872.5680742096556,2708.464088329544,-16125.183393519103,-988.2784893458952,-5158.673115117141,-1469.340614018233,-259.19165386525765,-1113.2988781573968,1499.8356098003278,7785.5305092130075,14145.009056919786,90857.67782758587,-2929.3129501432995,9542.041077444032,-9237.303012296306
