iso3,year,education,energy,health,housing_living,research_innovation,security_stability,composite
PAK,2002,-2.309848713302869,-1.126903733619203,-2.8797764791299336,-1.3404944098418745,-1.9456745827917028,0.27447109570036465,-1.5547044704975364
PAK,2003,-2.29342463091398,-1.0543259839962524,-2.87029277368456,-1.312910305087803,-1.8816992715297565,0.2888219384709144,-1.5206385044569064
PAK,2004,-2.2906536014922088,-0.9623868014590731,-2.7771002064598744,-1.2522264844795028,-1.777662941870228,0.28742526041464833,-1.4621007958910397
PAK,2005,-2.1974586125187803,-0.9045033810669899,-2.764221630850893,-1.2110120736645513,-1.6060517582536293,0.2900325688836555,-1.3988691479118647
PAK,2006,-2.1169058791638573,-0.8408803963064022,-2.691673486119722,-1.1507948380924558,-1.5291600199835853,0.2888660143932166,-1.3400914342121346
PAK,2007,-2.158007120034489,-0.7840729775656772,-2.7151367049234874,-1.0899478856906881,-1.3786220624660432,0.2798735820580791,-1.3076521947703843
PAK,2008,-2.116583338010258,-0.8318860173113267,-2.692928137076415,-1.029048267714735,-1.345571863562572,0.2353068338144762,-1.2967851316434718
PAK,2009,-2.0991453346142004,-0.7990080509350935,-2.6388285358448287,-0.9680971163453621,-1.403766849908388,0.23096337071755996,-1.2796470861550522
PAK,2010,-2.0753496675140277,-0.7504690968545373,-2.5593628358478124,-0.9070858118221578,-1.4603706736951096,0.21749606809660185,-1.255857002939507
PAK,2011,-2.09623412549262,-0.7363822338871691,-2.4700575957297835,-0.8460174006433985,-1.5133661422603595,0.20483429416650922,-1.2428705339744701
PAK,2012,-2.032840635633054,-0.7302174691533265,-2.26042412559557,-0.7848943808916172,-1.5212119142980756,0.21421861820424204,-1.1858949845612334
PAK,2013,-2.0646420841892876,-0.699555280184418,-2.031955831475279,-0.7237371461757799,-1.4705745927126048,0.21869631949917484,-1.1286281025396991
PAK,2014,-2.152087575797846,-0.655770027870109,-1.9062075997713785,-0.6625293048893102,-1.4839650547773027,0.2469374075379543,-1.1022703592613319
PAK,2015,-2.1269208365714944,-0.5943967043479875,-1.7063160176401335,-0.6012730685812232,-1.41594963378415,0.37400831164095427,-1.0118079915473392
PAK,2016,-2.1435350916522324,-0.5040173743288104,-1.6101818128621035,-0.5399720889969343,-1.3830936347389982,0.4085170078939745,-0.9620471657808506
